epoch,accuracy,loss,val_accuracy,val_loss
0,0.6253004670143127,1.0031157732009888,0.6716089248657227,0.5939420461654663
1,0.6831430196762085,0.5908187627792358,0.6531757116317749,0.9593639373779297
2,0.7160957455635071,0.5512158274650574,0.7447405457496643,0.5347011089324951
3,0.7554587125778198,0.5013397336006165,0.6980565190315247,0.6359901428222656
4,0.7757411599159241,0.47812509536743164,0.7405329346656799,0.8214614391326904
5,0.7942708134651184,0.4490208625793457,0.782608687877655,0.49968966841697693
6,0.8091446161270142,0.4229619801044464,0.7239030003547668,0.9447556138038635
7,0.8224158883094788,0.40475785732269287,0.7974354028701782,0.7512174844741821
8,0.8177083134651184,0.41492193937301636,0.7976357340812683,0.5197677612304688
9,0.8370893597602844,0.3752785921096802,0.8110598921775818,0.42935922741889954
